DATE,SP500,sp500_pct,sp500_investment
2015-12-15,2043.41,0.0,1000.0
2015-12-16,2073.07,0.014514952946300674,1014.5149529463007
2015-12-17,2041.89,-0.0007438546351441477,999.2561453648558
2015-12-18,2005.55,-0.0185278529516838,981.4721470483162
2015-12-21,2021.15,-0.01089355538046699,989.106444619533
2015-12-22,2038.97,-0.0021728385395001215,997.8271614604998
2015-12-23,2064.29,0.010218213672243959,1010.2182136722439
2015-12-24,2060.99,0.008603266109101781,1008.6032661091018
2015-12-25,,,
2015-12-28,2056.5,0.006405958667129896,1006.4059586671299
2015-12-29,2078.36,0.01710376282782211,1017.1037628278222
2015-12-30,2063.36,0.009763092086267688,1009.7630920862676
2015-12-31,2043.94,0.00025937036620149456,1000.2593703662014
2016-01-01,,,
2016-01-04,2012.66,-0.015048375020186855,984.9516249798131
2016-01-05,2016.71,-0.013066393919967112,986.9336060800329
2016-01-06,1990.26,-0.026010443327575072,973.9895566724249
2016-01-07,1943.09,-0.04909440591951697,950.9055940804831
2016-01-08,1922.03,-0.05940070764065952,940.5992923593404
2016-01-11,1923.67,-0.05859812763958283,941.4018723604172
2016-01-12,1938.68,-0.0512525631175339,948.7474368824661
2016-01-13,1890.28,-0.07493846071028332,925.0615392897167
2016-01-14,1921.84,-0.059493689470052624,940.5063105299474
2016-01-15,1880.33,-0.07980777230218128,920.1922276978187
2016-01-18,,,
2016-01-19,1881.33,-0.07931839425274423,920.6816057472557
2016-01-20,1859.33,-0.09008471134035756,909.9152886596424
2016-01-21,1868.99,-0.08535731938279645,914.6426806172035
2016-01-22,1906.9,-0.06680499752864089,933.1950024713591
2016-01-25,1877.08,-0.08139825096285136,918.6017490371487
2016-01-26,1903.63,-0.06840526375029976,931.5947362497002
2016-01-27,1882.95,-0.07852560181265633,921.4743981873437
2016-01-28,1893.36,-0.07343117631801754,926.5688236819825
2016-01-29,1940.24,-0.050489133360412275,949.5108666395877
2016-02-01,1939.38,-0.05090999848292799,949.090001517072
2016-02-02,1903.03,-0.06869889057996192,931.3011094200381
2016-02-03,1912.53,-0.06404979911031072,935.9502008896893
2016-02-04,1915.45,-0.06262081520595475,937.3791847940453
2016-02-05,1880.05,-0.07994479815602362,920.0552018439764
2016-02-08,1853.44,-0.09296714805154127,907.0328519484588
2016-02-09,1852.21,-0.09356908305234879,906.4309169476512
2016-02-10,1851.86,-0.0937403653696518,906.2596346303482
2016-02-11,1829.08,-0.104888397335826,895.111602664174
2016-02-12,1864.78,-0.0874176009709261,912.5823990290739
2016-02-15,,,
2016-02-16,1895.58,-0.07234475704826748,927.6552429517325
2016-02-17,1926.82,-0.0570565867838565,942.9434132161435
2016-02-18,1917.83,-0.06145609544829489,938.543904551705
2016-02-19,1917.78,-0.06148056435076665,938.5194356492334
2016-02-22,1945.5,-0.04791500482037381,952.0849951796262
2016-02-23,1921.27,-0.059772634958231596,940.2273650417684
2016-02-24,1929.8,-0.055598240196534254,944.4017598034658
2016-02-25,1951.7,-0.04488086091386456,955.1191390861354
2016-02-26,1948.05,-0.04666709079430953,953.3329092056905
2016-02-29,1932.23,-0.05440905153640241,945.5909484635976
2016-03-01,1978.35,-0.031838935896369436,968.1610641036306
2016-03-02,1986.45,-0.02787497369592984,972.1250263040702
2016-03-03,1993.4,-0.024473796252342916,975.5262037476571
2016-03-04,1999.99,-0.021248794906553292,978.7512050934467
2016-03-07,2001.76,-0.020382595759049882,979.6174042409501
2016-03-08,1979.26,-0.03139360187138174,968.6063981286183
2016-03-09,1989.26,-0.02649982137701201,973.500178622988
2016-03-10,1989.57,-0.026348114181686588,973.6518858183134
2016-03-11,2022.19,-0.010384602209052574,989.6153977909474
2016-03-14,2019.64,-0.011632516235116741,988.3674837648832
2016-03-15,2015.93,-0.01344810879852798,986.551891201472
2016-03-16,2027.22,-0.007923030620384575,992.0769693796154
2016-03-17,2040.59,-0.0013800460994123354,998.6199539005877
2016-03-18,2049.58,0.0030194625650259432,1003.019462565026
2016-03-21,2051.6,0.004008006224888616,1004.0080062248886
2016-03-22,2049.8,0.0031271257359022364,1003.1271257359023
2016-03-23,2036.71,-0.003278832931227771,996.7211670687723
2016-03-24,2035.94,-0.003655654029294131,996.3443459707058
2016-03-25,,,
2016-03-28,2037.05,-0.003112444394419156,996.8875556055808
2016-03-29,2055.01,0.00567678537346894,1005.676785373469
2016-03-30,2063.95,0.010051825135435344,1010.0518251354354
2016-03-31,2059.74,0.00799154354730569,1007.9915435473057
2016-04-01,2072.78,0.014373033311963823,1014.3730333119638
2016-04-04,2066.13,0.011118669283207927,1011.118669283208
2016-04-05,2045.17,0.0008613053670090132,1000.861305367009
2016-04-06,2066.66,0.011378039649409422,1011.3780396494094
2016-04-07,2041.91,-0.0007340670741554645,999.2659329258445
2016-04-08,2047.6,0.002050494027140859,1002.0504940271409
2016-04-11,2041.99,-0.0006949168302005093,999.3050831697994
2016-04-12,2061.72,0.008960512085190775,1008.9605120851908
2016-04-13,2082.42,0.01909063770853625,1019.0906377085363
2016-04-14,2082.78,0.01926681380633366,1019.2668138063336
2016-04-15,2080.73,0.018263588804987796,1018.2635888049878
2016-04-18,2094.34,0.02492402405782501,1024.924024057825
2016-04-19,2100.8,0.028085406257187806,1028.0854062571877
2016-04-20,2102.4,0.02886841113628691,1028.8684111362868
2016-04-21,2091.48,0.0235244028364352,1023.5244028364352
2016-04-22,2091.58,0.023573340641378726,1023.5733406413788
2016-04-25,2087.79,0.021718597834012643,1021.7185978340126
2016-04-26,2091.7,0.02363206600731127,1023.6320660073113
