DATE,DGS5
2014-02-03,1.44
2014-02-04,1.46
2014-02-05,1.5
2014-02-06,1.52
2014-02-07,1.47
2014-02-10,1.48
2014-02-11,1.54
2014-02-12,1.59
2014-02-13,1.51
2014-02-14,1.53
2014-02-17,
2014-02-18,1.5
2014-02-19,1.53
2014-02-20,1.57
2014-02-21,1.56
2014-02-24,1.57
2014-02-25,1.53
2014-02-26,1.5
2014-02-27,1.49
2014-02-28,1.51
2014-03-03,1.46
2014-03-04,1.54
2014-03-05,1.54
2014-03-06,1.57
2014-03-07,1.65
2014-03-10,1.64
2014-03-11,1.62
2014-03-12,1.59
2014-03-13,1.53
2014-03-14,1.55
2014-03-17,1.58
2014-03-18,1.56
2014-03-19,1.75
2014-03-20,1.73
2014-03-21,1.73
2014-03-24,1.76
2014-03-25,1.76
2014-03-26,1.7
2014-03-27,1.7
2014-03-28,1.74
2014-03-31,1.73
2014-04-01,1.74
2014-04-02,1.8
2014-04-03,1.79
2014-04-04,1.71
2014-04-07,1.68
2014-04-08,1.67
2014-04-09,1.65
2014-04-10,1.59
2014-04-11,1.58
2014-04-14,1.61
2014-04-15,1.63
2014-04-16,1.67
2014-04-17,1.75
2014-04-18,
2014-04-21,1.74
2014-04-22,1.76
2014-04-23,1.73
2014-04-24,1.74
2014-04-25,1.72
2014-04-28,1.73
2014-04-29,1.74
2014-04-30,1.69
2014-05-01,1.66
2014-05-02,1.67
2014-05-05,1.68
2014-05-06,1.68
2014-05-07,1.65
2014-05-08,1.63
2014-05-09,1.63
2014-05-12,1.67
2014-05-13,1.62
2014-05-14,1.57
2014-05-15,1.55
2014-05-16,1.56
2014-05-19,1.56
2014-05-20,1.53
2014-05-21,1.55
2014-05-22,1.57
2014-05-23,1.55
2014-05-26,
2014-05-27,1.56
2014-05-28,1.5
2014-05-29,1.52
2014-05-30,1.54
2014-06-02,1.6
2014-06-03,1.65
2014-06-04,1.65
2014-06-05,1.63
2014-06-06,1.66
2014-06-09,1.69
2014-06-10,1.71
2014-06-11,1.7
2014-06-12,1.66
2014-06-13,1.7
2014-06-16,1.71
2014-06-17,1.77
2014-06-18,1.71
2014-06-19,1.71
2014-06-20,1.71
2014-06-23,1.72
2014-06-24,1.7
2014-06-25,1.68
2014-06-26,1.64
2014-06-27,1.64
2014-06-30,1.62
2014-07-01,1.66
2014-07-02,1.71
2014-07-03,1.74
2014-07-04,
2014-07-07,1.74
2014-07-08,1.7
2014-07-09,1.68
2014-07-10,1.66
2014-07-11,1.65
2014-07-14,1.68
2014-07-15,1.7
2014-07-16,1.71
2014-07-17,1.65
2014-07-18,1.69
2014-07-21,1.7
2014-07-22,1.68
2014-07-23,1.67
2014-07-24,1.72
2014-07-25,1.69
2014-07-28,1.73
2014-07-29,1.7
2014-07-30,1.77
2014-07-31,1.76
2014-08-01,1.67
2014-08-04,1.66
2014-08-05,1.66
2014-08-06,1.66
2014-08-07,1.6
2014-08-08,1.62
2014-08-11,1.62
2014-08-12,1.63
2014-08-13,1.59
2014-08-14,1.58
2014-08-15,1.55
2014-08-18,1.58
2014-08-19,1.59
2014-08-20,1.65
2014-08-21,1.64
2014-08-22,1.68
2014-08-25,1.69
2014-08-26,1.68
2014-08-27,1.65
2014-08-28,1.63
2014-08-29,1.63
2014-09-01,
2014-09-02,1.69
2014-09-03,1.69
2014-09-04,1.71
2014-09-05,1.69
2014-09-08,1.72
2014-09-09,1.76
2014-09-10,1.79
2014-09-11,1.79
2014-09-12,1.83
2014-09-15,1.8
2014-09-16,1.78
2014-09-17,1.82
2014-09-18,1.85
2014-09-19,1.83
2014-09-22,1.8
2014-09-23,1.78
2014-09-24,1.82
2014-09-25,1.75
2014-09-26,1.8
2014-09-29,1.77
2014-09-30,1.78
2014-10-01,1.69
2014-10-02,1.7
2014-10-03,1.73
2014-10-06,1.7
2014-10-07,1.64
2014-10-08,1.57
2014-10-09,1.58
2014-10-10,1.55
2014-10-13,
2014-10-14,1.45
2014-10-15,1.37
2014-10-16,1.39
2014-10-17,1.44
2014-10-20,1.41
2014-10-21,1.44
2014-10-22,1.46
2014-10-23,1.52
2014-10-24,1.52
2014-10-27,1.51
2014-10-28,1.53
2014-10-29,1.61
2014-10-30,1.58
2014-10-31,1.62
2014-11-03,1.63
2014-11-04,1.63
2014-11-05,1.63
2014-11-06,1.67
2014-11-07,1.6
2014-11-10,1.65
2014-11-11,
2014-11-12,1.65
2014-11-13,1.64
2014-11-14,1.62
2014-11-17,1.64
2014-11-18,1.63
2014-11-19,1.66
2014-11-20,1.64
2014-11-21,1.63
2014-11-24,1.62
2014-11-25,1.58
2014-11-26,1.56
2014-11-27,
2014-11-28,1.49
2014-12-01,1.52
2014-12-02,1.59
2014-12-03,1.61
2014-12-04,1.59
2014-12-05,1.69
2014-12-08,1.67
2014-12-09,1.63
2014-12-10,1.58
2014-12-11,1.62
2014-12-12,1.53
2014-12-15,1.58
2014-12-16,1.53
2014-12-17,1.61
2014-12-18,1.68
2014-12-19,1.66
2014-12-22,1.67
2014-12-23,1.76
2014-12-24,1.76
2014-12-25,
2014-12-26,1.75
2014-12-29,1.72
2014-12-30,1.68
2014-12-31,1.65
2015-01-01,
2015-01-02,1.61
2015-01-05,1.57
2015-01-06,1.5
2015-01-07,1.47
2015-01-08,1.5
2015-01-09,1.45
2015-01-12,1.39
2015-01-13,1.37
2015-01-14,1.33
2015-01-15,1.22
2015-01-16,1.29
2015-01-19,
2015-01-20,1.31
2015-01-21,1.35
2015-01-22,1.39
2015-01-23,1.33
2015-01-26,1.36
2015-01-27,1.34
2015-01-28,1.25
2015-01-29,1.28
2015-01-30,1.18
2015-02-02,1.19
2015-02-03,1.28
2015-02-04,1.29
2015-02-05,1.3
2015-02-06,1.48
2015-02-09,1.49
2015-02-10,1.52
2015-02-11,1.53
2015-02-12,1.5
2015-02-13,1.53
2015-02-16,
2015-02-17,1.62
2015-02-18,1.52
2015-02-19,1.58
2015-02-20,1.61
2015-02-23,1.56
2015-02-24,1.47
2015-02-25,1.47
2015-02-26,1.54
2015-02-27,1.5
2015-03-02,1.57
2015-03-03,1.61
2015-03-04,1.6
2015-03-05,1.57
2015-03-06,1.7
2015-03-09,1.66
2015-03-10,1.62
2015-03-11,1.6
2015-03-12,1.59
2015-03-13,1.6
2015-03-16,1.57
2015-03-17,1.56
2015-03-18,1.41
2015-03-19,1.48
2015-03-20,1.42
2015-03-23,1.41
2015-03-24,1.37
2015-03-25,1.41
2015-03-26,1.47
2015-03-27,1.42
2015-03-30,1.41
2015-03-31,1.37
2015-04-01,1.32
2015-04-02,1.35
2015-04-03,1.26
2015-04-06,1.31
2015-04-07,1.32
2015-04-08,1.35
2015-04-09,1.4
2015-04-10,1.41
2015-04-13,1.38
2015-04-14,1.34
2015-04-15,1.33
2015-04-16,1.31
2015-04-17,1.31
2015-04-20,1.33
2015-04-21,1.35
2015-04-22,1.41
2015-04-23,1.37
2015-04-24,1.34
2015-04-27,1.36
2015-04-28,1.39
2015-04-29,1.43
2015-04-30,1.43
2015-05-01,1.5
2015-05-04,1.51
2015-05-05,1.54
2015-05-06,1.58
2015-05-07,1.55
2015-05-08,1.5
2015-05-11,1.59
2015-05-12,1.58
2015-05-13,1.57
2015-05-14,1.51
2015-05-15,1.46
2015-05-18,1.54
2015-05-19,1.6
2015-05-20,1.57
2015-05-21,1.53
2015-05-22,1.57
2015-05-25,
2015-05-26,1.54
2015-05-27,1.53
2015-05-28,1.51
2015-05-29,1.49
2015-06-01,1.55
2015-06-02,1.61
2015-06-03,1.69
2015-06-04,1.65
2015-06-05,1.75
2015-06-08,1.72
2015-06-09,1.74
2015-06-10,1.8
2015-06-11,1.74
2015-06-12,1.75
2015-06-15,1.71
2015-06-16,1.68
2015-06-17,1.63
2015-06-18,1.65
2015-06-19,1.59
2015-06-22,1.68
2015-06-23,1.71
2015-06-24,1.69
2015-06-25,1.7
2015-06-26,1.75
2015-06-29,1.62
